2025-10-06 11:34:53.286 [main] INFO  com.company.nextlabs.policygen.PolicyGeneratorApplication - No active profile set, falling back to 1 default profile: "default"
2025-10-06 11:34:54.127 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2025-10-06 11:34:54.237 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 923 ms
2025-10-06 11:34:54.441 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2025-10-06 11:34:54.448 [main] INFO  com.company.nextlabs.policygen.PolicyGeneratorApplication - Started PolicyGeneratorApplication in 1.403 seconds (JVM running for 2.057)
2025-10-06 11:35:21.452 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-10-06 11:35:21.454 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2025-10-06 11:42:55.389 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2025-10-06 11:42:55.416 [main] INFO  com.company.nextlabs.policygen.PolicyGeneratorApplication - Starting PolicyGeneratorApplication using Java 11.0.28 on MITRE with PID 25568 (C:\Users\ylioh\IdeaProjects\CapstoneProject\build\classes\java\main started by ylioh in C:\Users\ylioh\IdeaProjects\CapstoneProject)
2025-10-06 11:42:55.420 [main] INFO  com.company.nextlabs.policygen.PolicyGeneratorApplication - No active profile set, falling back to 1 default profile: "default"
2025-10-06 11:42:56.001 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2025-10-06 11:42:56.103 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 657 ms
2025-10-06 11:42:56.346 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2025-10-06 11:42:56.352 [main] INFO  com.company.nextlabs.policygen.PolicyGeneratorApplication - Started PolicyGeneratorApplication in 1.217 seconds (JVM running for 2.45)
2025-10-06 11:43:04.415 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
